,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,0,0,0,0,0,0,0,0,0,2015-01-02,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,14.620667457580566,71466000
1,1,1,1,1,1,1,1,1,1,1,2015-01-05,14.303333282470703,14.43333339691162,13.810667037963867,14.005999565124512,14.005999565124512,80527500
2,2,2,2,2,2,2,2,2,2,2,2015-01-06,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,14.085332870483398,93928500
3,3,3,3,3,3,3,3,3,3,3,2015-01-07,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678224,14.063332557678224,44526000
4,4,4,4,4,4,4,4,4,4,4,2015-01-08,14.187333106994627,14.25333309173584,14.000666618347168,14.041333198547363,14.041333198547363,51637500
5,5,5,5,5,5,5,5,5,5,5,2015-01-09,13.928000450134276,13.998666763305664,13.663999557495115,13.77733325958252,13.77733325958252,70024500
6,6,6,6,6,6,6,6,6,6,6,2015-01-12,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,13.480667114257812,89254500
7,7,7,7,7,7,7,7,7,7,7,2015-01-13,13.554667472839355,13.84066677093506,13.394000053405762,13.616666793823242,13.616666793823242,67159500
8,8,8,8,8,8,8,8,8,8,8,2015-01-14,12.388667106628418,13.013333320617676,12.333333015441896,12.845999717712402,12.845999717712402,173278500
9,9,9,9,9,9,9,9,9,9,9,2015-01-15,12.965999603271484,13.050000190734863,12.666666984558104,12.791333198547363,12.791333198547363,78247500
10,10,10,10,10,10,10,10,10,10,10,2015-01-16,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,12.871333122253418,54048000
11,11,11,11,11,11,11,11,11,11,11,2015-01-20,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630373,12.795332908630373,67548000
12,12,12,12,12,12,12,12,12,12,12,2015-01-21,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,13.104666709899902,62295000
13,13,13,13,13,13,13,13,13,13,13,2015-01-22,13.133333206176758,13.54933261871338,13.013333320617676,13.441332817077637,13.441332817077637,61753500
14,14,14,14,14,14,14,14,14,14,14,2015-01-23,13.352666854858398,13.56666660308838,13.222000122070312,13.419333457946776,13.419333457946776,51579000
15,15,15,15,15,15,15,15,15,15,15,2015-01-26,13.45533275604248,13.907999992370604,13.403332710266112,13.770000457763672,13.770000457763672,48517500
16,16,16,16,16,16,16,16,16,16,16,2015-01-27,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,13.732000350952148,41715000
17,17,17,17,17,17,17,17,17,17,17,2015-01-28,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,13.291333198547363,47244000
18,18,18,18,18,18,18,18,18,18,18,2015-01-29,13.404666900634766,13.732000350952148,13.100000381469728,13.68000030517578,13.68000030517578,53221500
19,19,19,19,19,19,19,19,19,19,19,2015-01-30,13.597332954406738,13.83133316040039,13.533332824707031,13.57333278656006,13.57333278656006,45105000
20,20,20,20,20,20,20,20,20,20,20,2015-02-02,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005373,14.062666893005373,62238000
21,21,21,21,21,21,21,21,21,21,21,2015-02-03,14.214667320251465,14.691332817077637,14.084667205810549,14.557332992553713,14.557332992553713,72393000
22,22,22,22,22,22,22,22,22,22,22,2015-02-04,14.552666664123535,14.76533317565918,14.453332901000977,14.56999969482422,14.56999969482422,49581000
23,23,23,23,23,23,23,23,23,23,23,2015-02-05,14.658666610717772,15.031999588012695,14.642666816711426,14.732666969299316,14.732666969299316,52843500
24,24,24,24,24,24,24,24,24,24,24,2015-02-06,14.800000190734863,14.893333435058594,14.43333339691162,14.490667343139648,14.490667343139648,48658500
25,25,25,25,25,25,25,25,25,25,25,2015-02-09,14.358667373657228,14.528667449951172,14.13266658782959,14.498666763305664,14.498666763305664,52086000
26,26,26,26,26,26,26,26,26,26,26,2015-02-10,14.50333309173584,14.699999809265137,14.333333015441896,14.419333457946776,14.419333457946776,80857500
27,27,27,27,27,27,27,27,27,27,27,2015-02-11,14.147333145141602,14.315999984741213,13.8186674118042,14.186667442321776,14.186667442321776,146536500
28,28,28,28,28,28,28,28,28,28,28,2015-02-12,12.904666900634766,13.53933334350586,12.885333061218262,13.525333404541016,13.525333404541016,234744000
29,29,29,29,29,29,29,29,29,29,29,2015-02-13,13.526666641235352,13.732666969299316,13.394000053405762,13.584667205810549,13.584667205810549,92865000
30,30,30,30,30,30,30,30,30,30,30,2015-02-17,13.713333129882812,13.713333129882812,13.43333339691162,13.623332977294922,13.623332977294922,59694000
31,31,31,31,31,31,31,31,31,31,31,2015-02-18,13.611332893371582,13.744667053222656,13.506667137145996,13.630666732788086,13.630666732788086,40704000
32,32,32,32,32,32,32,32,32,32,32,2015-02-19,13.666666984558104,14.162667274475098,13.583333015441896,14.11400032043457,14.11400032043457,77311500
33,33,33,33,33,33,33,33,33,33,33,2015-02-20,14.052000045776367,14.506667137145996,13.987333297729492,14.473999977111816,14.473999977111816,89731500
34,34,34,34,34,34,34,34,34,34,34,2015-02-23,14.37733268737793,14.546667098999023,13.755332946777344,13.822667121887209,13.822667121887209,127497000
35,35,35,35,35,35,35,35,35,35,35,2015-02-24,13.81933307647705,13.81933307647705,13.446666717529297,13.607333183288574,13.607333183288574,99054000
36,36,36,36,36,36,36,36,36,36,36,2015-02-25,13.662667274475098,13.809332847595217,13.505332946777344,13.583999633789062,13.583999633789062,58642500
37,37,37,37,37,37,37,37,37,37,37,2015-02-26,13.600000381469728,14.072667121887209,13.481332778930664,13.812666893005373,13.812666893005373,97093500
38,38,38,38,38,38,38,38,38,38,38,2015-02-27,13.793333053588867,13.903332710266112,13.520000457763672,13.555999755859377,13.555999755859377,58231500
39,39,39,39,39,39,39,39,39,39,39,2015-03-02,13.513333320617676,13.555999755859377,13.055333137512209,13.155332565307615,13.155332565307615,118831500
40,40,40,40,40,40,40,40,40,40,40,2015-03-03,13.120667457580566,13.349332809448242,13.021332740783691,13.303999900817873,13.303999900817873,66484500
41,41,41,41,41,41,41,41,41,41,41,2015-03-04,13.283332824707031,13.501333236694336,13.147333145141602,13.496000289916992,13.496000289916992,63330000
42,42,42,42,42,42,42,42,42,42,42,2015-03-05,13.523332595825195,13.746000289916992,13.34333324432373,13.375332832336426,13.375332832336426,73155000
43,43,43,43,43,43,43,43,43,43,43,2015-03-06,13.280667304992676,13.383333206176758,12.8100004196167,12.925333023071287,12.925333023071287,100686000
44,44,44,44,44,44,44,44,44,44,44,2015-03-09,12.959333419799805,12.965999603271484,12.550000190734863,12.725333213806152,12.725333213806152,101050500
45,45,45,45,45,45,45,45,45,45,45,2015-03-10,12.564000129699709,12.899999618530272,12.506667137145996,12.687999725341797,12.687999725341797,83695500
46,46,46,46,46,46,46,46,46,46,46,2015-03-11,12.743332862854004,13.07866668701172,12.734000205993652,12.916000366210938,12.916000366210938,74623500
47,47,47,47,47,47,47,47,47,47,47,2015-03-12,12.916666984558104,12.963333129882812,12.649999618530272,12.73799991607666,12.73799991607666,62239500
48,48,48,48,48,48,48,48,48,48,48,2015-03-13,12.596667289733888,12.783332824707031,12.48799991607666,12.57866668701172,12.57866668701172,81514500
49,49,49,49,49,49,49,49,49,49,49,2015-03-16,12.800000190734863,13.060667037963867,12.653332710266112,13.046667098999023,13.046667098999023,84432000
50,50,50,50,50,50,50,50,50,50,50,2015-03-17,13.028667449951172,13.247332572937012,12.929332733154297,12.982000350952148,12.982000350952148,73411500
51,51,51,51,51,51,51,51,51,51,51,2015-03-18,12.997332572937012,13.392000198364258,12.87399959564209,13.380666732788086,13.380666732788086,72313500
52,52,52,52,52,52,52,52,52,52,52,2015-03-19,13.466667175292969,13.63933277130127,12.968667030334473,13.043333053588867,13.043333053588867,127128000
53,53,53,53,53,53,53,53,53,53,53,2015-03-20,13.16333293914795,13.265999794006348,13.041333198547363,13.20533275604248,13.20533275604248,64042500
54,54,54,54,54,54,54,54,54,54,54,2015-03-23,13.233332633972168,13.366666793823242,13.164667129516602,13.308667182922363,13.308667182922363,39474000
55,55,55,55,55,55,55,55,55,55,55,2015-03-24,13.43866729736328,13.586000442504885,13.31666660308838,13.447999954223633,13.447999954223633,54748500
56,56,56,56,56,56,56,56,56,56,56,2015-03-25,13.218000411987305,13.239333152770996,12.846667289733888,12.953332901000977,12.953332901000977,85956000
57,57,57,57,57,57,57,57,57,57,57,2015-03-26,12.928000450134276,12.986000061035156,12.646666526794434,12.694000244140623,12.694000244140623,61920000
58,58,58,58,58,58,58,58,58,58,58,2015-03-27,12.604666709899902,12.619333267211914,12.09333324432373,12.333333015441896,12.333333015441896,129073500
59,59,59,59,59,59,59,59,59,59,59,2015-03-30,12.390000343322754,12.81666660308838,12.119999885559082,12.704667091369627,12.704667091369627,151342500
60,60,60,60,60,60,60,60,60,60,60,2015-03-31,12.902000427246094,12.917332649230955,12.560667037963867,12.584667205810549,12.584667205810549,75399000
61,61,61,61,61,61,61,61,61,61,61,2015-04-01,12.579999923706056,12.81999969482422,12.403332710266112,12.505999565124512,12.505999565124512,56919000
62,62,62,62,62,62,62,62,62,62,62,2015-04-02,12.682000160217283,12.881999969482422,12.666666984558104,12.733332633972168,12.733332633972168,75156000
63,63,63,63,63,63,63,63,63,63,63,2015-04-06,13.199999809265137,13.850000381469728,13.166666984558104,13.539999961853027,13.539999961853027,186837000
64,64,64,64,64,64,64,64,64,64,64,2015-04-07,13.500666618347168,13.670666694641112,13.40933322906494,13.550000190734863,13.550000190734863,65218500
65,65,65,65,65,65,65,65,65,65,65,2015-04-08,13.880000114440918,14.0600004196167,13.724666595458984,13.844667434692385,13.844667434692385,94546500
66,66,66,66,66,66,66,66,66,66,66,2015-04-09,13.895333290100098,14.024666786193848,13.7413330078125,14.005999565124512,14.005999565124512,57003000
67,67,67,67,67,67,67,67,67,67,67,2015-04-10,13.989999771118164,14.109999656677246,13.93333339691162,14.0600004196167,14.0600004196167,61015500
68,68,68,68,68,68,68,68,68,68,68,2015-04-13,14.029333114624023,14.199999809265137,13.936667442321776,13.985333442687988,13.985333442687988,56373000
69,69,69,69,69,69,69,69,69,69,69,2015-04-14,13.904666900634766,13.965999603271484,13.699999809265137,13.830666542053224,13.830666542053224,45390000
70,70,70,70,70,70,70,70,70,70,70,2015-04-15,13.830666542053224,13.97266674041748,13.773332595825195,13.85533332824707,13.85533332824707,29286000
71,71,71,71,71,71,71,71,71,71,71,2015-04-16,13.846667289733888,13.944666862487791,13.752667427062988,13.779999732971191,13.779999732971191,24886500
72,72,72,72,72,72,72,72,72,72,72,2015-04-17,13.666000366210938,13.791999816894531,13.56666660308838,13.78600025177002,13.78600025177002,37048500
73,73,73,73,73,73,73,73,73,73,73,2015-04-20,13.785332679748535,13.856666564941406,13.59000015258789,13.684666633605955,13.684666633605955,38389500
74,74,74,74,74,74,74,74,74,74,74,2015-04-21,13.720000267028809,14.050000190734863,13.620667457580566,13.96066665649414,13.96066665649414,51487500
75,75,75,75,75,75,75,75,75,75,75,2015-04-22,14.166666984558104,14.791999816894531,14.112667083740234,14.629332542419434,14.629332542419434,117945000
76,76,76,76,76,76,76,76,76,76,76,2015-04-23,14.5513334274292,14.76533317565918,14.476667404174805,14.57333278656006,14.57333278656006,66168000
77,77,77,77,77,77,77,77,77,77,77,2015-04-24,14.699999809265137,14.720000267028809,14.534000396728516,14.562000274658203,14.562000274658203,36417000
78,78,78,78,78,78,78,78,78,78,78,2015-04-27,14.837332725524902,15.916666984558104,14.800000190734863,15.436667442321776,15.436667442321776,175089000
79,79,79,79,79,79,79,79,79,79,79,2015-04-28,15.649999618530272,15.699999809265137,15.20199966430664,15.36533260345459,15.36533260345459,91281000
80,80,80,80,80,80,80,80,80,80,80,2015-04-29,15.33666706085205,15.664667129516602,15.175333023071287,15.49666690826416,15.49666690826416,59041500
81,81,81,81,81,81,81,81,81,81,81,2015-04-30,15.359333038330078,15.526000022888184,15.011333465576172,15.06999969482422,15.06999969482422,58678500
82,82,82,82,82,82,82,82,82,82,82,2015-05-01,15.329333305358888,15.451333045959473,14.694000244140623,15.0686674118042,15.0686674118042,79225500
83,83,83,83,83,83,83,83,83,83,83,2015-05-04,15.211999893188477,15.648667335510254,15.140666961669922,15.36733341217041,15.36733341217041,66519000
84,84,84,84,84,84,84,84,84,84,84,2015-05-05,15.850666999816896,15.966667175292969,15.275333404541016,15.529999732971191,15.529999732971191,86953500
85,85,85,85,85,85,85,85,85,85,85,2015-05-06,15.606666564941406,15.631333351135254,15.213333129882812,15.362000465393066,15.362000465393066,79063500
86,86,86,86,86,86,86,86,86,86,86,2015-05-07,14.733332633972168,15.83199977874756,14.68333339691162,15.786666870117188,15.786666870117188,141838500
87,87,87,87,87,87,87,87,87,87,87,2015-05-08,15.732666969299316,15.894000053405762,15.579999923706056,15.77400016784668,15.77400016784668,70023000
88,88,88,88,88,88,88,88,88,88,88,2015-05-11,15.752667427062988,16.191999435424805,15.687333106994627,15.965999603271484,15.965999603271484,85084500
89,89,89,89,89,89,89,89,89,89,89,2015-05-12,16.007333755493164,16.42333221435547,15.879332542419434,16.31599998474121,16.31599998474121,95451000
90,90,90,90,90,90,90,90,90,90,90,2015-05-13,16.507333755493164,16.553333282470703,16.149999618530273,16.211999893188477,16.211999893188477,81603000
91,91,91,91,91,91,91,91,91,91,91,2015-05-14,16.321332931518555,16.326000213623047,16.083332061767578,16.273332595825195,16.273332595825195,43438500
92,92,92,92,92,92,92,92,92,92,92,2015-05-15,16.261999130249023,16.626667022705078,16.166667938232422,16.589332580566406,16.589332580566406,67914000
93,93,93,93,93,93,93,93,93,93,93,2015-05-18,16.46666717529297,16.65999984741211,16.399999618530273,16.583332061767578,16.583332061767578,50298000
94,94,94,94,94,94,94,94,94,94,94,2015-05-19,16.562000274658203,16.733333587646484,16.40999984741211,16.47599983215332,16.47599983215332,55113000
95,95,95,95,95,95,95,95,95,95,95,2015-05-20,16.475332260131836,16.516000747680664,16.091333389282227,16.290000915527344,16.290000915527344,56334000
96,96,96,96,96,96,96,96,96,96,96,2015-05-21,16.20199966430664,16.441333770751953,16.157333374023438,16.374666213989258,16.374666213989258,29559000
97,97,97,97,97,97,97,97,97,97,97,2015-05-22,16.358667373657227,16.573333740234375,16.333999633789062,16.51533317565918,16.51533317565918,33346500
98,98,98,98,98,98,98,98,98,98,98,2015-05-26,16.511999130249023,16.799999237060547,16.433332443237305,16.497333526611328,16.497333526611328,52480500
99,99,99,99,99,99,99,99,99,99,99,2015-05-27,16.567333221435547,16.633333206176758,16.3700008392334,16.495332717895508,16.495332717895508,51123000
100,100,100,100,100,100,100,100,100,100,100,2015-05-28,16.468666076660156,16.786666870117188,16.336666107177734,16.76333236694336,16.76333236694336,54709500
101,101,101,101,101,101,101,101,101,101,101,2015-05-29,16.733333587646484,16.857999801635742,16.6286678314209,16.719999313354492,16.719999313354492,56839500
102,102,102,102,102,102,102,102,102,102,102,2015-06-01,16.76066780090332,16.773332595825195,16.49799919128418,16.6299991607666,16.6299991607666,37576500
103,103,103,103,103,103,103,103,103,103,103,2015-06-02,16.594667434692383,16.626667022705078,16.420000076293945,16.55666732788086,16.55666732788086,32022000
104,104,104,104,104,104,104,104,104,104,104,2015-06-03,16.546667098999023,16.71466636657715,16.46733283996582,16.599332809448242,16.599332809448242,26722500
105,105,105,105,105,105,105,105,105,105,105,2015-06-04,16.5,16.6200008392334,16.380666732788086,16.39466667175293,16.39466667175293,36804000
106,106,106,106,106,106,106,106,106,106,106,2015-06-05,16.399999618530273,16.64666748046875,16.3786678314209,16.609333038330078,16.609333038330078,45330000
